Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-medigree.fhir.core.json	2121	-	0	0	0	0	0	0	2	27	0	0	0	0	0	0	0	0	0	0	57	31	0	0	0	2	0	9
fsh-generated/resources/StructureDefinition-Requirement.json	1438	4	0	0	0	0	0	148	0	161	0	0	0	0	0	0	0	1	0	0	273	640	0	0	0	8	0	1
fsh-generated/resources/TestScript-TS1.json	1945	5	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	17	9	0	0	0	1	0	0
